"targetx1","targety1","targetx2","targety2","d","day","x1","y1","x2","y2","departuretime","arrivaltime","transitdistance","transittime","bustime","walktime","waittime","td"
118.223625972033,24.4104831663487,118.314670507969,24.4549963627089,10473.730119482,"days",118.286415,24.415166,118.3153895,24.4552312,"6:58am","9:39am",8.6,191.2,35.5,20.4,135.3,0.0182551963645074
118.247373664015,24.439353126864,118.370469960369,24.4470710857631,12504.3911493626,"days",118.286415,24.415166,118.3705153,24.446386,"6:58am","10:06am",13.7,218.1,66.1,1.8,150.2,0.0174418728105061
118.322134071155,24.4389613754194,118.385403698194,24.4618880055919,6900.80496567032,"days",118.3219146,24.4391592,118.3852649,24.4618964,"6:58am","8:49am",10,110.3,38.8,31.5,40,0.0159836425676009
118.344079108934,24.4152399212735,118.323938290565,24.4348200610833,2986.33969839452,"days",118.3445905,24.4159579,118.3240459,24.4347192,"","",3.5,43.8,0,43.8,0,0.0146667842320641
118.224248995089,24.4246934959718,118.421614548846,24.4941197285698,21440.2533076351,"days",118.286415,24.415166,118.4206042,24.494983,"7:01am","12:29pm",29.1,357.6,145.2,17.4,195,0.0166789074209611
118.244938760319,24.436287949731,118.387285085858,24.4723918579555,14973.8563471212,"days",118.286415,24.415166,118.3876614,24.4722472,"6:58am","12:32pm",15.6,363.5,78.4,10.1,275,0.0242756435999792
118.318236942913,24.4299122471402,118.419201191844,24.4407408493412,10303.3294036109,"days",118.318241,24.4298731,118.4192116,24.4407171,"6:58am","8:54am",12.5,115.2,57.5,17.7,40,0.0111808518865394
118.361437709989,24.4303805497354,118.380849914394,24.4361201625062,2068.57720578979,"days",118.3609357,24.431048,118.3808652,24.4359822,"6:58am","8:38am",6.2,99.5,15.8,23.7,60,0.0481006943910564
118.353780187557,24.4649207967401,118.308463587301,24.4256751048119,6338.50809723265,"days",118.3524198,24.4637245,118.3084089,24.4257231,"7:07am","8:53am",9.9,105.5,38,30,37.5,0.0166442952161031
118.323783996475,24.4237647060255,118.413702273757,24.430262513706,9142.33977621579,"days",118.3237971,24.4245432,118.4127642,24.4307613,"6:59am","9:02am",12.7,123.5,53,30.5,40,0.0135085769095228
118.417511504524,24.499525508858,118.241825619645,24.4437836757096,18850.9079514961,"days",118.4175657,24.499467,118.2864996,24.4150958,"7:05am","10:10am",21.5,215.1,106.2,18.3,90.6,0.0114105909674727
118.311032521462,24.4714330041069,118.424081192603,24.4904080508785,11646.3180438463,"days",118.3111673,24.4714474,118.4242372,24.4902775,"6:59am","12:27pm",25.5,328.2,126.9,26.2,175.1,0.0281805802283937
118.418526768572,24.4756123549331,118.319103403324,24.4321611968902,11175.8773298699,"days",118.4183356,24.4759508,118.3191696,24.4321458,"7:24am","11:00am",19.1,215.6,99.3,6.3,110,0.0192915503307972
118.389515521135,24.4443111197532,118.412481996101,24.4321262329021,2693.95904908537,"days",118.3894983,24.4443125,118.4127757,24.4321271,"7:04am","7:41am",4.1,37.8,8.3,29.4,0.0999999999999979,0.0140313936890887
118.420712774404,24.5000180880897,118.432689502497,24.4853722699788,2032.26836274006,"days",118.4207156,24.4997991,118.4330415,24.4854615,"","",2.7,32.9,0,33,0,0.0161888068540524
118.395127203241,24.4643975887083,118.231442231726,24.4225726374964,17229.1699636906,"days",118.3962204,24.4636594,118.2864996,24.4150958,"7:23am","10:10am",17.4,197,81.8,24.6,90.6,0.0114340969655048
118.315653518258,24.4088777253998,118.343117404746,24.4510643600073,5459.15236877155,"days",118.3156967,24.4090362,118.3434126,24.4511965,"7:18am","8:35am",7.2,77.8,34.7,2.5,40.6,0.0142512966747449
118.390424696771,24.4580628159407,118.320922076258,24.4465574836235,7158.54095024912,"days",118.3902096,24.4582704,118.3206592,24.4465075,"6:59am","8:30am",8.2,91,35,21,35,0.0127120876492064
118.305078060831,24.4526712455846,118.352942406509,24.4266930038804,5647.42055711106,"days",118.3050037,24.45241,118.3530851,24.426437,"","",8,99.3,0,99.3,0,0.0175832486700436
118.322515322083,24.4424356285902,118.347563397204,24.4418344313059,2539.32903528683,"days",118.3224617,24.4424858,118.3477285,24.4415735,"","",3.2,39.8,0,39.8,0,0.0156734316218711
118.222656931547,24.4242999974365,118.310426055218,24.410462903976,9028.8933154952,"days",118.2864996,24.4150958,118.3105796,24.4108255,"","",3.8,78,0,48,30,0.00863893251082478
118.31941362099,24.4321796302028,118.401615546238,24.4456017292433,8463.73123606936,"days",118.3193865,24.4321448,118.4015714,24.4456279,"6:59am","8:17am",9.9,78.3,44.7,18.6,15,0.00925123894132102
118.441975322503,24.4622862913251,118.32529338314,24.4101962651427,13170.6269950004,"days",118.4415518,24.4624218,118.3252809,24.4103038,"6:59am","11:10am",20.6,251,86.7,24.3,140,0.0190575589222351
118.333411752233,24.4279274395375,118.435298520326,24.4122515982036,10473.7076788097,"days",118.3334924,24.427983,118.4353179,24.4123369,"7:13am","10:00am",16.8,166.7,83.1,13.4,70.2,0.0159160447390819
118.256675860951,24.4323232172957,118.306830094728,24.4806854284832,7403.5479063585,"days",118.286415,24.415166,118.3070222,24.4801953,"6:59am","9:57am",13.3,207.9,63.1,9.6,135.2,0.028081131185961
118.416475682781,24.4369364105269,118.32499293871,24.4419965520069,9288.4274473966,"days",118.4172397,24.4366944,118.3250709,24.4419259,"6:59am","8:24am",10.9,85.2,48.4,21.5,15.3,0.00917270447365988
118.303783224147,24.4152776911281,118.35285760374,24.4237606037719,5063.07775292757,"days",118.3038587,24.4153227,118.3530461,24.4234227,"6:59am","9:10am",9,130.9,27.1,43.8,60,0.0258538395789619
118.410939462089,24.5052225553966,118.310612239389,24.4537258047247,11669.5582617838,"days",118.4110046,24.5052666,118.3103981,24.4538692,"7:47am","1:53pm",20.8,365.8,102.1,13.5,250.2,0.0313465164485227
118.420787679257,24.4407261688304,118.352129380062,24.4385616190956,6962.34596658913,"days",118.4207163,24.4409098,118.3522209,24.4382218,"6:59am","8:13am",9,73.7,37.7,21,15,0.0105855124628496
118.235218129431,24.4486923322355,118.430708242602,24.4925146361093,20398.9654930461,"days",118.286415,24.415166,118.4306845,24.4924967,"7:01am","12:37pm",29.7,365.9,145.2,25.7,195,0.0179371841245936
118.418335718006,24.4636607339842,118.404982636311,24.4598110318573,1419.27615364533,"days",118.4184452,24.4635931,118.4056741,24.4592923,"","",1.6,20.9,0,20.9,0,0.0147258163580918
118.334536800708,24.4499788030118,118.395430410278,24.4598998832011,6268.56928359244,"days",118.3344171,24.4499575,118.3944381,24.4610659,"6:59am","10:57am",8.5,237.2,38.4,18.9,179.9,0.0378395753909676
118.386348317159,24.4769858621145,118.312838294554,24.4324112881165,8950.36185114281,"days",118.386575,24.4770732,118.3128316,24.4322564,"7:30am","8:49am",11.8,79.3,52.8,26.5,0,0.00885997698404503
118.343258615226,24.420614960341,118.335617483174,24.4408174256196,2378.5380782037,"days",118.3430544,24.4206235,118.3355828,24.440917,"","",3.5,43.1,0,43.1,0,0.018120374189069
118.243829334593,24.4162676877015,118.326099913021,24.4399220532618,8744.36190657437,"days",118.286415,24.415166,118.3253141,24.4405733,"6:59am","8:43am",6.7,133.2,28.5,14.8,89.9,0.0152326723691359
118.400499364652,24.4420223860777,118.327518567621,24.4421463490769,7396.10835906113,"days",118.4004755,24.4420827,118.3275247,24.4421507,"7:07am","8:17am",8.4,70,36.9,18.1,15,0.00946443678238455
118.414732475492,24.4538169568827,118.317951245119,24.4850069294637,10402.5146183362,"days",118.4150334,24.453523,118.317919,24.484978,"7:00am","10:06am",22.1,186.8,100.8,25.9,60.1,0.017957196586942
